COUNTRY,YEAR,MONTH,TOTAL_PRODUCTION,DOMESTIC_CONSUMPTION,EXPORTABLE_PRODUCTION,GROSS_OPENING_STOCKS
Philippines,2017/18,July,200,3000,0,0
Tanzania,2017/18,July,750,91.667,658.333,25
Zambia,2017/18,July,12,0,12,0
Benin,2017/18,October,0,0,0,0
Cameroon,2017/18,October,375,78,297,30
Central African Republic,2017/18,October,50,20,30,0
Colombia,2017/18,October,14000,1800,12200,298.369
"Congo, Dem. Rep. of",2017/18,October,335,200,135,3
Costa Rica,2017/18,October,1560.439,353.334,1207.105,107.343
Côte d'Ivoire,2017/18,October,1300,317,983,200
El Salvador,2017/18,October,740,300,440,22.2
Equatorial Guinea,2017/18,October,0,0,0,0
Ethiopia,2017/18,October,7650,3750,3900,575
Gabon,2017/18,October,0.5,0.5,0,258
Ghana,2017/18,October,16,2,14,2
Guatemala,2017/18,October,3800,395,3405,15
Guinea,2017/18,October,215,50,165,10
Guyana,2017/18,October,10,9,1,0
Honduras,2017/18,October,8349,375,7974,263.667
India,2017/18,October,5840,2350,3490,1100
Jamaica,2017/18,October,17,9,8,0
Kenya,2017/18,October,790,50,740,30
"Lao, People's Dem. Rep. of",2017/18,October,475,150,325,0
Liberia,2017/18,October,12,5,7,0
Mexico,2017/18,October,4000,2400,1600,550
Nepal,2017/18,October,2,0,2,0
Nicaragua,2017/18,October,2500,218,2282,125
Nigeria,2017/18,October,42,40,2,0
Panama,2017/18,October,106,67,39,3
Sierra Leone,2017/18,October,43,5,38,2
Sri Lanka,2017/18,October,37,35,2,0
Thailand,2017/18,October,500,1300,0,8
Togo,2017/18,October,55,254,54.746,5
Trinidad & Tobago,2017/18,October,12,10,2,0
Uganda,2017/18,October,5100,244.8,4855.2,907
Venezuela,2017/18,October,550,1650,0,0
Vietnam,2017/18,October,29500,2500,27000,4600
Yemen,2017/18,October,175,130,45,0
